prime_recipient,award_amount,sub_recipient,address1,address2,address3,city,state,zip,county,district,award_number,award_type,award_description,sub_award,spent_to_date,project_description,project_status,spending_category,category_description
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,STEVEN R LUDWIG,PO BOX 328,,,Silvana,WA,98287-0328,WA-SNOHOMISH,WA02,203421,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",68647.36,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,STEVEN R LUDWIG,PO BOX 328,,,Silvana,WA,98287-0328,WA-SNOHOMISH,WA02,203421,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",68647.36,68647.36,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,STEVEN W. GILDNES INC.,PO BOX 2393,,,Cordova,AK,99574-2393,AK-VALDEZ CORDOVA,AK00,200101,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,STYLE BUY DESIGN INC,2932 C St Ste A,,,Anchorage,AK,99503-3900,AK-ANCHORAGE,AK00,202050,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",78083.35,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,STYLE BUY DESIGN INC,2932 C St Ste A,,,Anchorage,AK,99503-3900,AK-ANCHORAGE,AK00,202050,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",78083.35,78083.35,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SUGAR MAGNOLIAS,44224 Sterling Hwy Ste 3,,,Soldotna,AK,99669-8046,AK-KENAI PENINSULA,AK00,203471,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",60133.88,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SUGAR MAGNOLIAS,44224 Sterling Hwy Ste 3,,,Soldotna,AK,99669-8046,AK-KENAI PENINSULA,AK00,203471,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",60133.88,60133.88,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SUMMIT CHIROPRACTIC,308 Old Steese Hwy,,,Fairbanks,AK,99701-3126,AK-FAIRBANKS NORTH STAR,AK00,201963,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SUMMIT CHIROPRACTIC,308 Old Steese Hwy,,,Fairbanks,AK,99701-3126,AK-FAIRBANKS NORTH STAR,AK00,201963,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SUSAN ELAINE GRANT,PO BOX 56981,,,North Pole,AK,99705-1981,AK-FAIRBANKS NORTH STAR,AK00,,DIRECT,,61409.0,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SUSAN ELAINE GRANT,PO BOX 56981,,,North Pole,AK,99705-1981,AK-FAIRBANKS NORTH STAR,AK00,,DIRECT,,61409.0,61409.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SUSTAINABLE SOCKEYE FISHERIES LLC,1115 Baranof St,,,Kodiak,AK,99615-6454,AK-KODIAK ISLAND,AK00,200470,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",75338.3,75338.3,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SWEET CARIBOU LLC,PO BOX 230432,,,Anchorage,AK,99523-0432,AK-ANCHORAGE,AK00,202463,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SWEET CARIBOU LLC,PO BOX 230432,,,Anchorage,AK,99523-0432,AK-ANCHORAGE,AK00,202463,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SWIERK ENTERPRISES,PO BOX 1126,,,Valdez,AK,99686-1126,,,202408,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",95116.81,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SWIERK ENTERPRISES,PO BOX 1126,,,Valdez,AK,99686-1126,,,202408,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",95116.81,95116.81,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SWITZER LLC,PO BOX 2451,,,Homer,AK,99603-2451,AK-KENAI PENINSULA,AK00,201868,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SWITZER LLC,PO BOX 2451,,,Homer,AK,99603-2451,AK-KENAI PENINSULA,AK00,201868,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SYREN INVESTMENTS,1004 Beech Ln,,,Anchorage,AK,99501-3203,AK-ANCHORAGE,AK00,205264,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,SYREN INVESTMENTS,1004 Beech Ln,,,Anchorage,AK,99501-3203,AK-ANCHORAGE,AK00,205264,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,TAKOTNA COMMUNITY ASSOC INC,PO BOX 7509,,,Takotna,AK,99675-0009,AK-YUKON-KOYUKUK,AK00,20-CRF-198,GRANT,Community assistance grant.,75000.00004,75000.0,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,TAKU ENGINEERING,PO BOX 241386,,,Anchorage,AK,99524-1386,AK-ANCHORAGE,AK00,202902,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,TAKU ENGINEERING,PO BOX 241386,,,Anchorage,AK,99524-1386,AK-ANCHORAGE,AK00,202902,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,TANAINA CHILD DEVELOPMENT CENTER,1200 Airport Heights Dr Ste 140,,,Anchorage,AK,99508-2970,AK-ANCHORAGE,AK00,,DIRECT,,72000.00004,72000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,TANAINA CHILD DEVELOPMENT CENTER,1200 Airport Heights Dr Ste 140,,,Anchorage,AK,99508-2970,AK-ANCHORAGE,AK00,,DIRECT,,72000.00004,72000.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,TANAINA CHILD DEVELOPMENT CENTER,1200 Airport Heights Dr Ste 140,,,Anchorage,AK,99508-2970,AK-ANCHORAGE,AK00,,DIRECT,,72000.00004,-72000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Not started,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TANANA, CITY OF",PO BOX 77249,,,Tanana,AK,99777-0249,AK-YUKON-KOYUKUK,AK00,20-CRF-200,GRANT,Community assistance grant.,159431.1,53784.0,,,Housing Support,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TANANA, CITY OF",PO BOX 77249,,,Tanana,AK,99777-0249,AK-YUKON-KOYUKUK,AK00,20-CRF-200,GRANT,Community assistance grant.,159431.1,21497.0,,,Items Not Listed Above,Other Community COVID-19 Expenses
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TANANA, CITY OF",PO BOX 77249,,,Tanana,AK,99777-0249,AK-YUKON-KOYUKUK,AK00,20-CRF-200,GRANT,Community assistance grant.,159431.1,36584.0,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TANANA, CITY OF",PO BOX 77249,,,Tanana,AK,99777-0249,AK-YUKON-KOYUKUK,AK00,20-CRF-200,GRANT,Community assistance grant.,159431.1,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TANANA, CITY OF",PO BOX 77249,,,Tanana,AK,99777-0249,AK-YUKON-KOYUKUK,AK00,20-CRF-200,GRANT,Community assistance grant.,159431.1,43481.0,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TANANA, CITY OF",PO BOX 77249,,,Tanana,AK,99777-0249,AK-YUKON-KOYUKUK,AK00,20-CRF-200,GRANT,Community assistance grant.,159431.1,4085.1,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,TASTE OF ALASKA LLC,5504 Prospect Dr,,,Missoula,MT,59808-8693,MT-MISSOULA,MT00,200686,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",72755.31,72755.31,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TBD ALASKA, LLC",4101 Arctic Blvd Ste 203,,,Anchorage,AK,99503-5702,AK-ANCHORAGE,AK00,203454,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",51937.65,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TBD ALASKA, LLC",4101 Arctic Blvd Ste 203,,,Anchorage,AK,99503-5702,AK-ANCHORAGE,AK00,203454,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",51937.65,51937.65,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TENAKEE SPRINGS, CITY OF",PO BOX 52,,,Tenakee Springs,AK,99841-0052,AK-HOONAH-ANGOON,AK00,20-CRF-204,GRANT,Community assistance grant.,132007.09,0.0,,,Select,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TENAKEE SPRINGS, CITY OF",PO BOX 52,,,Tenakee Springs,AK,99841-0052,AK-HOONAH-ANGOON,AK00,20-CRF-204,GRANT,Community assistance grant.,132007.09,750.0,,,Administrative Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TENAKEE SPRINGS, CITY OF",PO BOX 52,,,Tenakee Springs,AK,99841-0052,AK-HOONAH-ANGOON,AK00,20-CRF-204,GRANT,Community assistance grant.,132007.09,3759.29,,,Payroll for Public Health and Safety Employees,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TENAKEE SPRINGS, CITY OF",PO BOX 52,,,Tenakee Springs,AK,99841-0052,AK-HOONAH-ANGOON,AK00,20-CRF-204,GRANT,Community assistance grant.,132007.09,36720.66,,,Public Health Expenses,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TENAKEE SPRINGS, CITY OF",PO BOX 52,,,Tenakee Springs,AK,99841-0052,AK-HOONAH-ANGOON,AK00,20-CRF-204,GRANT,Community assistance grant.,132007.09,47600.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TENAKEE SPRINGS, CITY OF",PO BOX 52,,,Tenakee Springs,AK,99841-0052,AK-HOONAH-ANGOON,AK00,20-CRF-204,GRANT,Community assistance grant.,132007.09,29750.0,,,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TENAKEE SPRINGS, CITY OF",PO BOX 52,,,Tenakee Springs,AK,99841-0052,AK-HOONAH-ANGOON,AK00,20-CRF-204,GRANT,Community assistance grant.,132007.09,7970.64,,,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TENAKEE SPRINGS, CITY OF",PO BOX 52,,,Tenakee Springs,AK,99841-0052,AK-HOONAH-ANGOON,AK00,20-CRF-204,GRANT,Community assistance grant.,132007.09,199.0,,,Facilitating Distance Learning,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TENAKEE SPRINGS, CITY OF",PO BOX 52,,,Tenakee Springs,AK,99841-0052,AK-HOONAH-ANGOON,AK00,20-CRF-204,GRANT,Community assistance grant.,132007.09,1000.0,,,Food Programs,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TENAKEE SPRINGS, CITY OF",PO BOX 52,,,Tenakee Springs,AK,99841-0052,AK-HOONAH-ANGOON,AK00,20-CRF-204,GRANT,Community assistance grant.,132007.09,2252.61,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,"TENAKEE SPRINGS, CITY OF",PO BOX 52,,,Tenakee Springs,AK,99841-0052,AK-HOONAH-ANGOON,AK00,20-CRF-204,GRANT,Community assistance grant.,132007.09,2004.59,"State of Alaska COVID-19 Direct Municipal Relief Program through the Department of Commerce, Community, and Economic Development",Completed 50% or more,Budgeted Personnel and Services Diverted to a Substantially Different Use,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,TERN LLC,PO BOX 78,,,Sand Point,AK,99661-0078,AK-ALEUTIANS EAST,AK00,201547,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,TERN LLC,PO BOX 78,,,Sand Point,AK,99661-0078,AK-ALEUTIANS EAST,AK00,201547,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,TERRY D CORESON,PO BOX 56,,,Kenai,AK,99611-0056,AK-KENAI PENINSULA,AK00,202236,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",86461.77,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,TERRY D CORESON,PO BOX 56,,,Kenai,AK,99611-0056,AK-KENAI PENINSULA,AK00,202236,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",86461.77,86461.77,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,TERRY OSTLING,196 Jacobson Rd,,,Cathlamet,WA,98612-9532,WA-WAHKIAKUM,WA03,201314,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",52977.86,52977.86,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,TFI,PO BOX 1256,,,Dillingham,AK,99576-1256,AK-DILLINGHAM,AK00,200160,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",56551.51,56551.51,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE ALASKA COMMUNITY FOUNDATION,3201 C St Ste 110,,,Anchorage,AK,99503-3961,AK-ANCHORAGE,AK00,CVID190998,GRANT,Sub-awards to non-profit entities for COVID relief,49700000.0,-14000000.0,State of Alaska COVID-19 Health and Social Services Non-profit Support through the Department of Health and Social Services,Not started,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE ALASKA COMMUNITY FOUNDATION,3201 C St Ste 110,,,Anchorage,AK,99503-3961,AK-ANCHORAGE,AK00,CVID190998,GRANT,Sub-awards to non-profit entities for COVID relief,49700000.0,20000000.0,,,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE ALASKA COMMUNITY FOUNDATION,3201 C St Ste 110,,,Anchorage,AK,99503-3961,AK-ANCHORAGE,AK00,CVID190998,GRANT,Sub-awards to non-profit entities for COVID relief,49700000.0,23700000.0,State of Alaska COVID-19 Health and Social Services Non-profit Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE ALASKA COMMUNITY FOUNDATION,3201 C St Ste 110,,,Anchorage,AK,99503-3961,AK-ANCHORAGE,AK00,CVID190998,GRANT,Sub-awards to non-profit entities for COVID relief,49700000.0,20000000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE ALASKA COMMUNITY FOUNDATION,3201 C St Ste 110,,,Anchorage,AK,99503-3961,AK-ANCHORAGE,AK00,605-237-21003,GRANT,COVID-19 Response Grant Program,1016193.36,1016193.36,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,Items Not Listed Above,Mitigation and Prevention Efforts
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE ALASKA COMMUNITY FOUNDATION,3201 C St Ste 110,,,Anchorage,AK,99503-3961,AK-ANCHORAGE,AK00,605-236-21006,GRANT,DHSS Get Active Alaska,1000000.0,1000000.0,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE ALASKA STATE LEGISLATURE,120 4th St Rm 3,,,Juneau,AK,99801-1162,AK-JUNEAU,AK00,,DIRECT,,2381572.12,94402.02,,,COVID-19 Testing and Contact Tracing,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE ALASKA STATE LEGISLATURE,120 4th St Rm 3,,,Juneau,AK,99801-1162,AK-JUNEAU,AK00,,DIRECT,,2381572.12,2287170.1,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,COVID-19 Testing and Contact Tracing,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE BETTER SWEATER,4306 Homer Spit Rd Bld # 2,,,Homer,AK,99603-8005,AK-KENAI PENINSULA,AK00,200155,GRANT,"AK CARES grants are for the payment of eligible expenses for Covid-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",61868.86,61868.86,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE BOARDROOM LLC,721 Depot Dr,,,Anchorage,AK,99501-1615,AK-ANCHORAGE,AK00,202839,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",97915.89,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE BOARDROOM LLC,721 Depot Dr,,,Anchorage,AK,99501-1615,AK-ANCHORAGE,AK00,202839,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",97915.89,97915.89,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE ENGLISH BAY CORPORATION,237 E Fireweed Ln Ste 200,,,Anchorage,AK,99503-2000,AK-ANCHORAGE,AK00,201898,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,0.0,,,,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE ENGLISH BAY CORPORATION,237 E Fireweed Ln Ste 200,,,Anchorage,AK,99503-2000,AK-ANCHORAGE,AK00,201898,GRANT,"AK CARES grants are for the payment of eligible expenses for COVID-19 impacted businesses. These expenses may include payroll, business rent or mortgage payments and utility payments, purchase of personal protective equipment for the business, and other expenses related to operating during the coronavirus pandemic.",100000.0,100000.0,"State of Alaska COVID-19 Small Business Relief through the Department of Commerce, Community, and Economic Development and the Alaska Industrial Development and Export Authority",Fully completed,Small Business Assistance,
"PUBLIC SAFETY, ALASKA DEPT OF",1250000000.0,THE FORAKER GROUP,161 Klevin St Ste 101,,,Anchorage,AK,99508-1508,AK-ANCHORAGE,AK00,605-234-20007,GRANT,Sub-awards to non-profit entities for COVID relief,495035.95,495035.95,State of Alaska Other COVID-19 Support through the Department of Health and Social Services,Fully completed,"Economic Support (Other than Small Business, Housing, and Food Assistance)",
