prime_recipient,sub_recipient,Location info,county,Award number,Award type,awards,Money spent to date,To be spent
"PUBLIC SAFETY, ALASKA DEPT OF",OCEAN GREEN LLC,PO BOX 938 Petersburg AK 99833-0938,AK-PETERSBURG,203191,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","OCEAN POINTE, INC.",PO BOX 2071 Cordova AK 99574-2071,AK-VALDEZ CORDOVA,201193,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",OFFICE OF GOVERNOR MIKE DUNLEAVY,PO BOX 110001 Juneau AK 99811-0001,AK-JUNEAU,,DIRECT,12341272.25,12341272.25,0
"PUBLIC SAFETY, ALASKA DEPT OF","OLD HARBOR, CITY OF",PO BOX 109 Old Harbor AK 99643-0109,AK-KODIAK ISLAND,20-CRF-157,GRANT,170946.94,155738.44,15208.5
"PUBLIC SAFETY, ALASKA DEPT OF",OLD TIMERS INC.,739 W 4th Ave Anchorage AK 99501-2106,AK-ANCHORAGE,203510,GRANT,54053.78,54053.78,0
"PUBLIC SAFETY, ALASKA DEPT OF",OPEN ARMS CHILD DEVELOPMENT CENTER,2980 Davis Rd Fairbanks AK 99709-5233,AK-FAIRBANKS NORTH STAR,,DIRECT,106000,106000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ORZEL PRODUCTIONS,2200 Fairbanks St Anchorage AK 99503-2214,AK-ANCHORAGE,202151,GRANT,83441.76,83441.76,0
"PUBLIC SAFETY, ALASKA DEPT OF","OUZINKIE, CITY OF",PO BOX 149 Seward AK 99664-0149,AK-KENAI PENINSULA,20-CRF-158,GRANT,130328.76,130328.76,0
"PUBLIC SAFETY, ALASKA DEPT OF",OWYHEE FISHING LLC,9156 N Douglas Hwy Juneau AK 99801-7647,AK-JUNEAU,204285,GRANT,55222.55,55222.55,0
"PUBLIC SAFETY, ALASKA DEPT OF",P & S PISCES LLC,11054 E Stearn Ave Mesa AZ 85212-5137,AZ-MARICOPA,203089,GRANT,79948.98,79948.98,0
"PUBLIC SAFETY, ALASKA DEPT OF",PALMER LIFEWAYS LLC,3199 N Palmer Fishhook Rd Palmer AK 99645-9566,AK-MATANUSKA-SUSITNA,203489,GRANT,99863.39,99863.39,0
"PUBLIC SAFETY, ALASKA DEPT OF","PALMER, CITY OF",231 W Evergreen Ave Palmer AK 99645-6952,AK-MATANUSKA-SUSITNA,20-CRF-159,GRANT,7566546.24,7566546.24,0
"PUBLIC SAFETY, ALASKA DEPT OF","PAMELA RAE FISHERIES, LLC",410 Calhoun Ave Juneau AK 99801-1704,AK-JUNEAU,204217,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","PARADIGM SEAFOODS, LLC",PO BOX 1230 Cordova AK 99574-1230,AK-VALDEZ CORDOVA,201495,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",PARKER SEAFOOD LLC,9577 W 5 Mile Rd Branch MI 49402-9005,MI-LAKE,200647,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",PATRICK CRENNA,3486 Halibut Point Rd Sitka AK 99835-9503,AK-SITKA,203831,GRANT,63712.92,63712.92,0
"PUBLIC SAFETY, ALASKA DEPT OF",PATRICK VILLANI,PO BOX 385 Dillingham AK 99576-0385,AK-DILLINGHAM,201341,GRANT,58413.65,58413.65,0
"PUBLIC SAFETY, ALASKA DEPT OF",PAUL LACA,PO BOX 523 Girdwood AK 99587-0523,AK-ANCHORAGE,201796,GRANT,76554.46,76554.46,0
"PUBLIC SAFETY, ALASKA DEPT OF",PAUL MATSON,1752 NW Market St # 800 Seattle WA 98107-5264,WA-KING,203792,GRANT,84467.37,84467.37,0
"PUBLIC SAFETY, ALASKA DEPT OF","PAUL T. LILEY, DDS",835 W 9th Ave Anchorage AK 99501-3413,AK-ANCHORAGE,201339,GRANT,92422.58,92422.58,0
"PUBLIC SAFETY, ALASKA DEPT OF",PAVEL KUSNETSOV,PO BOX 2627 Homer AK 99603-2627,AK-KENAI PENINSULA,202520,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","PAYLESS USED CAR SALES, LLC",919 E 5th Ave Anchorage AK 99501-2736,AK-ANCHORAGE,202421,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","PCR ALASKA, LLC",1413 W 31st Ave Anchorage AK 99503-3624,AK-ANCHORAGE,202388,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","PELICAN, CITY OF",PO BOX 737 Pelican AK 99832-0737,AK-HOONAH-ANGOON,20-CRF-160,GRANT,131273.2,131273.2,0
"PUBLIC SAFETY, ALASKA DEPT OF",PERCH RESORT AT DENALI INC,HC 2 BOX 1525 Healy AK 99743-9701,AK-DENALI,201915,GRANT,51065.97,51065.97,0
"PUBLIC SAFETY, ALASKA DEPT OF",PETER PAN,PO BOX 5032 Koliganek AK 99576-5032,AK-DILLINGHAM,200574,GRANT,74298.69,74298.69,0
"PUBLIC SAFETY, ALASKA DEPT OF",PETERSBURG BOROUGH,PO BOX 329 Petersburg AK 99833-0329,AK-PETERSBURG,20-CRF-161,GRANT,3978893.89,3978893.89,0
"PUBLIC SAFETY, ALASKA DEPT OF",PETERSBURG MEDICAL CENTER,PO BOX 589 Petersburg AK 99833-0589,AK-PETERSBURG,605-235-21005,GRANT,1500000,1500000,0
"PUBLIC SAFETY, ALASKA DEPT OF",PETTIGREWS AND SON LLC,125 N Willow St Ste B Kenai AK 99611-7702,AK-KENAI PENINSULA,200303,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","PHILIP OMAN CYNTHIA JONES, SOLE PROPRIETERSHIP",PO BOX 1494 Long Beach WA 98631-1494,WA-PACIFIC,202157,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","PIKES ON THE RIVER, INC.",1850 Hoselton Rd Fairbanks AK 99709-4675,AK-FAIRBANKS NORTH STAR,203465,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","PILOT STATION, CITY OF",PO BOX 5040 Pilot Station AK 99650-0040,AK-KUSILVAK,20-CRF-163,GRANT,369922.83,369922.83,0
"PUBLIC SAFETY, ALASKA DEPT OF",PIONEER FISHERIES,PO BOX 2342 Homer AK 99603-2342,AK-KENAI PENINSULA,203461,GRANT,60152.02,60152.02,0
"PUBLIC SAFETY, ALASKA DEPT OF","PL, INC.",1850 Hoselton Rd Fairbanks AK 99709-4675,AK-FAIRBANKS NORTH STAR,203501,GRANT,99023.17,99023.17,0
"PUBLIC SAFETY, ALASKA DEPT OF",PLANET BEACH,10905 Kamishak Bay Cir Anchorage AK 99515-2365,AK-ANCHORAGE,203496,GRANT,99516.61,99516.61,0
"PUBLIC SAFETY, ALASKA DEPT OF",PLAY N LEARN CENTER INC,1949 Gillam Way Ste F Fairbanks AK 99701-6089,AK-FAIRBANKS NORTH STAR,,DIRECT,209437,209437,0
"PUBLIC SAFETY, ALASKA DEPT OF","PLAZA INN HOTELS,INC.",321 E 5th Ave Anchorage AK 99501-2632,AK-ANCHORAGE,201835,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",POINT BAKER COMMUNITY ASSOCIATION,9998 State Float Point Baker AK 99927-9800,AK-PRINCE OF WALES-HYDER,20-CRF-165,GRANT,75000.00004,75000,0
"PUBLIC SAFETY, ALASKA DEPT OF","POINT HOPE, CITY OF",PO BOX 169 Point Hope AK 99766-0169,AK-NORTH SLOPE,20-CRF-166,GRANT,441357.45,441357.45,0
"PUBLIC SAFETY, ALASKA DEPT OF","POLAR BEAR GIFTS, INC.",442 W 5th Ave Anchorage AK 99501-2310,AK-ANCHORAGE,202307,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",POLARIS FISHERIES LLC,PO BOX 3154 Homer AK 99603-3154,AK-KENAI PENINSULA,202535,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","PORT ALEXANDER, CITY OF",PO BOX 8068 Port Alexander AK 99836-0068,AK-PRINCE OF WALES-HYDER,20-CRF-167,GRANT,109787.06,109787.06,0
"PUBLIC SAFETY, ALASKA DEPT OF","PORT LIONS, CITY OF",PO BOX 110 Port Lions AK 99550-0110,AK-KODIAK ISLAND,20-CRF-169,GRANT,121361.85,121361.85,0
"PUBLIC SAFETY, ALASKA DEPT OF",PORT PROTECTION COMMUNITY ASSOCIATION,4085 Tongass Ave Ketchikan AK 99901-5526,AK-KETCHIKAN GATEWAY,20-CRF-170,GRANT,75000.00004,72110.02,2889.98
"PUBLIC SAFETY, ALASKA DEPT OF",PROMISE FISHERIES,PO BOX 8833 Kodiak AK 99615-8833,AK-KODIAK ISLAND,201257,GRANT,71492.46,71492.46,0
"PUBLIC SAFETY, ALASKA DEPT OF",PROPERTY IMPROVEMENTS,PO BOX 15128 Fritz Creek AK 99603-6128,AK-KENAI PENINSULA,200677,GRANT,98798.32,98798.32,0
"PUBLIC SAFETY, ALASKA DEPT OF",PROVIDENCE HEALTH & SERVICES WASHINGTON,PO BOX 389672 Seattle WA 98138-9672,WA-KING,,DIRECT,96000.00003,96000,0
"PUBLIC SAFETY, ALASKA DEPT OF",PROVIDENCE HEALTH & SERVICES WASHINGTON,PO BOX 196604 Anchorage AK 99519-6604,AK-ANCHORAGE,605-235-21006,GRANT,2711393.82,2711393.82,0
"PUBLIC SAFETY, ALASKA DEPT OF",PS100 LLC/ MAX BURGER,5430 E Northern Lights Blvd Anchorage AK 99508-4713,AK-ANCHORAGE,201510,GRANT,89688.55,89688.55,0
"PUBLIC SAFETY, ALASKA DEPT OF","PS241, LLC",44315 Sterling Hwy Soldotna AK 99669-8034,AK-KENAI PENINSULA,201951,GRANT,66043.06,66043.06,0
"PUBLIC SAFETY, ALASKA DEPT OF",PURA VIDA ENTERPRISES LLC,4978 Highland Dr Blaine WA 98230-9624,WA-WHATCOM,200023,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",PURSUIT MARITIME LLC,PO BOX 188 Homer AK 99603-0188,AK-KENAI PENINSULA,201824,GRANT,65154.88,65154.88,0
"PUBLIC SAFETY, ALASKA DEPT OF",PWS CONNECTION,PO BOX 534 Valdez AK 99686-0534,,203314,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",QUALITY ELECTRIC LLC,PO BOX 529 Soldotna AK 99669-0529,AK-KENAI PENINSULA,202879,GRANT,99627.63,99627.63,0
"PUBLIC SAFETY, ALASKA DEPT OF","QUALITY MARKETING, INC.",PO BOX 240187 Anchorage AK 99524-0187,AK-ANCHORAGE,201934,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","QUINHAGAK, CITY OF",PO BOX 90 Quinhagak AK 99655-0090,AK-BETHEL,20-CRF-171,GRANT,416494.47,416494.47,0
"PUBLIC SAFETY, ALASKA DEPT OF",QUPQUGIAQ INN INC,3705 Arctic Blvd # 2736 Anchorage AK 99503-5774,AK-ANCHORAGE,202688,GRANT,56567.83,56567.83,0
"PUBLIC SAFETY, ALASKA DEPT OF",R SHINAKU,PO BOX 1167 Haines AK 99827-1167,AK-HAINES,203583,GRANT,61978.13,61978.13,0
"PUBLIC SAFETY, ALASKA DEPT OF",RABBIT CREEK COMMUNITY ASSOCIATION,13650 Lake Otis Pkwy Anchorage AK 99516-3413,AK-ANCHORAGE,,DIRECT,62789,62789,0
"PUBLIC SAFETY, ALASKA DEPT OF",RAINBOW TOURS MANAGEMENT LLC,336 Kobuk Ct Soldotna AK 99669-7839,AK-KENAI PENINSULA,201731,GRANT,65537.58,65537.58,0
"PUBLIC SAFETY, ALASKA DEPT OF",RANDEL HOME CARE INC.,9290 Aphrodite Dr Anchorage AK 99515-1498,AK-ANCHORAGE,200778,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",RASMUSSEN SEAFOODS  LLC,PO BOX 565 Verdi NV 89439-0565,NV-WASHOE,203464,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","READING WRITE ALASKA, INC.",12580 Old Seward Hwy Anchorage AK 99515-3506,AK-ANCHORAGE,203451,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","RED ROBIN ALASKA, INC.",450 Cordova St Ste 200 Anchorage AK 99501-2613,AK-ANCHORAGE,202954,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",REGENT LIFE CHURCH,672 E End Rd Homer AK 99603-7689,AK-KENAI PENINSULA,200270,GRANT,64481.46,64481.46,0
"PUBLIC SAFETY, ALASKA DEPT OF",REIVER FISHERIES LLC,103 Scarlett Way Sitka AK 99835-9812,AK-SITKA,204300,GRANT,89261.34,89261.34,0
"PUBLIC SAFETY, ALASKA DEPT OF",RELENTLESS,PO BOX 3168 Homer AK 99603-3168,AK-KENAI PENINSULA,203170,GRANT,91254.98,91254.98,0
"PUBLIC SAFETY, ALASKA DEPT OF",RESOURCE DEVELOPMENT COUNCIL FOR ALASKA INC,121 W Fireweed Ln Ste 250 Anchorage AK 99503-2035,AK-ANCHORAGE,200133,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",REVELATION FISHERIES LLC,PO BOX 390 Kasilof AK 99610-0390,AK-KENAI PENINSULA,202556,GRANT,62563.42,62563.42,0
"PUBLIC SAFETY, ALASKA DEPT OF",REVL INC.,650 W 58th Ave Ste J Anchorage AK 99518-1631,AK-ANCHORAGE,203417,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",REVOLUTION FISHERY,PO BOX 772 Delta Junction AK 99737-0772,AK-SOUTHEAST FAIRBANKS,203843,GRANT,96927.09,96927.09,0
"PUBLIC SAFETY, ALASKA DEPT OF",RIAN C TEN KLEY,1817 NW 26th Ave Camas WA 98607-9031,WA-CLARK,201343,GRANT,54553.8,54553.8,0
"PUBLIC SAFETY, ALASKA DEPT OF",RICHARD BRAY,PO BOX 1895 Cordova AK 99574-1895,AK-VALDEZ CORDOVA,203895,GRANT,63110.45,63110.45,0
"PUBLIC SAFETY, ALASKA DEPT OF",RICHARD CORAZZA,200 W 34th Ave # 932 Anchorage AK 99503-3969,AK-ANCHORAGE,201658,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",RICHARD J PERSON,24120 Rambler Rd Chugiak AK 99567-5528,AK-ANCHORAGE,203470,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",RICHARD J. WILSON,PO BOX 237 Naknek AK 99633-0237,AK-BRISTOL BAY,203515,GRANT,55876.47,55876.47,0
"PUBLIC SAFETY, ALASKA DEPT OF",RICHARD ROTH - SOLE PROPRITER,39142 Suchaview Rd Homer AK 99603-9559,AK-KENAI PENINSULA,204292,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",RICHARD TANAKA,P.O. Box 2345 British Columbia Port Hardy  V0N 2P0,,203301,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",RICK WYSOCKI,PO BOX 175 Dillingham AK 99576-0175,AK-DILLINGHAM,200290,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",RION T. VANEK,PO BOX 39251 Ninilchik AK 99639-0251,AK-KENAI PENINSULA,203256,GRANT,96761.12,96761.12,0
"PUBLIC SAFETY, ALASKA DEPT OF",RISING STAR CHILD CARE & LEARNING,1405 N Wasilla Fishhook Rd Wasilla AK 99654-5766,AK-MATANUSKA-SUSITNA,,DIRECT,113600,113600,0
"PUBLIC SAFETY, ALASKA DEPT OF",RIVER EDGE INC,393 Riverside Dr Soldotna AK 99669-7818,AK-KENAI PENINSULA,202353,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",RIVER TERRACE RV PARK,PO BOX 322 Soldotna AK 99669-0322,AK-KENAI PENINSULA,204206,GRANT,86830.79,86830.79,0
"PUBLIC SAFETY, ALASKA DEPT OF",ROBERT A FISCHER,4155 Sweet Rd Blaine WA 98230-9109,WA-WHATCOM,203037,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ROBERT HEYANO,PO BOX 1409 Dillingham AK 99576-1409,AK-DILLINGHAM,202194,GRANT,56060.52,56060.52,0
"PUBLIC SAFETY, ALASKA DEPT OF",ROBERT HILL,PO BOX 623 Naknek AK 99633-0623,AK-BRISTOL BAY,204238,GRANT,65924.48,65924.48,0
"PUBLIC SAFETY, ALASKA DEPT OF",ROBERT M CUNNINGHAM JR,PO BOX 22 Cordova AK 99574-0022,AK-VALDEZ CORDOVA,201421,GRANT,66664.38,66664.38,0
"PUBLIC SAFETY, ALASKA DEPT OF",ROBERT MCDONNELL,230 Shallow Shore Rd Bellingham WA 98229-8500,WA-WHATCOM,203283,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ROBERT R ECKLEY,506 Sunnyside Dr Cordova AK 99574-0007,AK-VALDEZ CORDOVA,201312,GRANT,58225.46,58225.46,0
"PUBLIC SAFETY, ALASKA DEPT OF",ROBERT S. CURTIS-JOHNSON,805 W Fireweed Ln Anchorage AK 99503-1866,AK-ANCHORAGE,202362,GRANT,72786.92,72786.92,0
"PUBLIC SAFETY, ALASKA DEPT OF",ROBERT WIESE,PO BOX 864 Cordova AK 99574-0864,AK-VALDEZ CORDOVA,200090,GRANT,54584.1,54584.1,0
"PUBLIC SAFETY, ALASKA DEPT OF",ROBERTSON ENTERPRISES INC,6370 Debarr Rd Anchorage AK 99504-1702,AK-ANCHORAGE,,DIRECT,89600.00003,89600,0
"PUBLIC SAFETY, ALASKA DEPT OF","ROBERTSON ENTERPRISES, INC.",6370 Debarr Rd Anchorage AK 99504-1702,AK-ANCHORAGE,201518,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ROLAND R MAW,53278 Madsen Ave Kasilof AK 99610-9429,AK-KENAI PENINSULA,200589,GRANT,52557.83,52557.83,0
"PUBLIC SAFETY, ALASKA DEPT OF",RONALD ANDERSON,39370 Brenmark Rd Homer AK 99603-9566,AK-KENAI PENINSULA,202202,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",ROSIEM/RODERICK MCCAY,PO BOX 161 Petersburg AK 99833-0161,AK-PETERSBURG,202979,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",RUBY,PO BOX 68210 Ruby AK 99768-0210,AK-YUKON-KOYUKUK,20-CRF-173,GRANT,129850.64,123139.36,6711.28
"PUBLIC SAFETY, ALASKA DEPT OF",RUNNING FREE ALASKA,4914 Roger Dr Anchorage AK 99507-1337,AK-ANCHORAGE,200507,GRANT,0,0,0
"PUBLIC SAFETY, ALASKA DEPT OF",RUNOUT LLC,50884 Mountain Glacier Ct Homer AK 99603-9732,AK-KENAI PENINSULA,202235,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",RURAL DELTANA VOLUNTEER FIRE DEPARTMENT,PO BOX 524 Delta Junction AK 99737-0524,AK-SOUTHEAST FAIRBANKS,20-CRF-068,GRANT,75000.00004,0,75000
"PUBLIC SAFETY, ALASKA DEPT OF",RURAL DELTANA VOLUNTEER FIRE DEPARTMENT,PO BOX 524 Delta Junction AK 99737-0524,AK-SOUTHEAST FAIRBANKS,20-CRF-026,GRANT,75000.00004,45208.17,29791.83
"PUBLIC SAFETY, ALASKA DEPT OF",RUSSELL FITZWATER,PO BOX 576 Girdwood AK 99587-0576,AK-ANCHORAGE,200331,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","RUSSIAN MISSION, CITY OF",PO BOX 49 Russian Mission AK 99657-0049,AK-KUSILVAK,20-CRF-174,GRANT,278822,278822,0
"PUBLIC SAFETY, ALASKA DEPT OF",RUST PROPERTIES LLC,PO BOX 190867 Anchorage AK 99519-0867,AK-ANCHORAGE,203446,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","RUSTAIR, INC",PO BOX 190867 Anchorage AK 99519-0867,AK-ANCHORAGE,203513,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",RYDER TRANSPORT LLC,4047 PENNOCK ST HOMER AK HOMER AK 99603,AK-KENAI PENINSULA,203482,GRANT,57664.5,57664.5,0
"PUBLIC SAFETY, ALASKA DEPT OF",SAFRON KUSNETSOV,203 Ocean Drive Loop Homer AK 99603-7951,AK-KENAI PENINSULA,200191,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",SALARA CORP.,13244 Thomas Ln Anacortes WA 98221-8268,WA-SKAGIT,200320,GRANT,52133.36,52133.36,0
"PUBLIC SAFETY, ALASKA DEPT OF",SALMON BERRY TRAVEL AND TOURS LLC,515 W 4th Ave Anchorage AK 99501-2211,AK-ANCHORAGE,202865,GRANT,67790.38,67790.38,0
"PUBLIC SAFETY, ALASKA DEPT OF",SALON IVY,1108 E Northern Lights Blvd Ste A Anchorage AK 99508-4259,AK-ANCHORAGE,201610,GRANT,93242.29,93242.29,0
"PUBLIC SAFETY, ALASKA DEPT OF",SALVATION ARMY,143 E 9th Ave Alaska Balance of State Anchorage AK 99501-3618,AK-ANCHORAGE,HAP20SVA2CARES,GRANT,855571.8,855571.8,0
"PUBLIC SAFETY, ALASKA DEPT OF",SALVATORE & NANCY PAPETTI LLC,PO BOX T Bellingham WA 98227-1307,WA-WHATCOM,200708,GRANT,69401.83,69401.83,0
"PUBLIC SAFETY, ALASKA DEPT OF","SAMPSON STEEL CO., INC.",1848 N Post Rd Anchorage AK 99501-1716,AK-ANCHORAGE,200791,GRANT,97950.00003,97950,0
"PUBLIC SAFETY, ALASKA DEPT OF",SAMSON M REUTOV,27711 W Long Lake Rd Ford WA 99013-9500,WA-SPOKANE,203507,GRANT,57296.86,57296.86,0
"PUBLIC SAFETY, ALASKA DEPT OF",SAND POINT CITY INC,PO BOX 249 Sand Point AK 99661-0249,AK-ALEUTIANS EAST,20-CRF-179,GRANT,1284248.89,1284248.89,0
"PUBLIC SAFETY, ALASKA DEPT OF",SASQUATCH ALASKA ADVENTURE CO,PO BOX 15323 Fritz Creek AK 99603-6323,AK-KENAI PENINSULA,202118,GRANT,55102.91,55102.91,0
"PUBLIC SAFETY, ALASKA DEPT OF",SAVO MFG,5278 Drayton Harbor Rd Blaine WA 98230-9515,WA-WHATCOM,200036,GRANT,58095.73,58095.73,0
"PUBLIC SAFETY, ALASKA DEPT OF","SAVOONGA, CITY OF",PO BOX 40 Savoonga AK 99769-0040,AK-NOME,20-CRF-180,GRANT,387695.43,387695.43,0
"PUBLIC SAFETY, ALASKA DEPT OF","SAXMAN, CITY OF",2841 S Tongass Hwy Ketchikan AK 99901-9514,AK-KETCHIKAN GATEWAY,20-CRF-181,GRANT,293120.1,293120.1,0
"PUBLIC SAFETY, ALASKA DEPT OF","SCAMMON BAY, CITY OF",PO BOX 90 Scammon Bay AK 99662-0090,AK-KUSILVAK,20-CRF-182,GRANT,381081.67,381081.67,0
"PUBLIC SAFETY, ALASKA DEPT OF",SCHAAD FISHERIES LLC,53200 N Mcneil Point Vis Homer AK 99603-9662,AK-KENAI PENINSULA,200479,GRANT,76479.99,76479.99,0
"PUBLIC SAFETY, ALASKA DEPT OF",SCHILLING ALASKA INC,47 Spur View Dr Kenai AK 99611-6879,AK-KENAI PENINSULA,202012,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",SCOTT LESH,PO BOX 715 Skagway AK 99840-0715,AK-SKAGWAY,203133,GRANT,67579.43,67579.43,0
"PUBLIC SAFETY, ALASKA DEPT OF",SEA MASTER,PO BOX 466 Homer AK 99603-0466,AK-KENAI PENINSULA,204260,GRANT,61743.84,61743.84,0
"PUBLIC SAFETY, ALASKA DEPT OF",SEABANGER LLC,3121 SE Franklin St Portland OR 97202-1930,OR-MULTNOMAH,202224,GRANT,62131,62131,0
"PUBLIC SAFETY, ALASKA DEPT OF",SEAFARER SUITES LLC,320 W Pioneer Ave Homer AK 99603-7528,AK-KENAI PENINSULA,200419,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",SEAMAN'S HARDWARE INC.,PO BOX 38 Cordova AK 99574-0038,AK-VALDEZ CORDOVA,201841,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",SEAN CARLOS,PO BOX 552 Dillingham AK 99576-0552,AK-DILLINGHAM,200152,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",SEAWEED AND THE MERMAID LLC,9640 Main Tree Dr Anchorage AK 99507-6705,AK-ANCHORAGE,202314,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",SEAWEST FISHERIES,209 Cedar Beach Dr Sitka AK 99835-9802,AK-SITKA,203857,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF",SECURE FISHERIES INC,11374 Walker Rd Mount Vernon WA 98273-7264,WA-SKAGIT,203558,GRANT,70166.77,70166.77,0
"PUBLIC SAFETY, ALASKA DEPT OF","SELAWIK, CITY OF",78 Selawik Rd Selawik AK 99770-9800,AK-NORTHWEST ARCTIC,20-CRF-183,GRANT,469543.93,469543.93,0
"PUBLIC SAFETY, ALASKA DEPT OF","SELDOVIA, CITY OF INC",PO BOX B Seldovia AK 99663-0149,AK-KENAI PENINSULA,20-CRF-184,GRANT,255381.72,255381.72,0
"PUBLIC SAFETY, ALASKA DEPT OF",SERENITY INC,38502 Fritz Creek Valley Dr Homer AK 99603-9599,AK-KENAI PENINSULA,202182,GRANT,87213.12,87213.12,0
"PUBLIC SAFETY, ALASKA DEPT OF",SEWARD LODGING IV LLC,1120 E Huffman #24 PMB416 Anchorage AK 99515,AK-ANCHORAGE,203449,GRANT,54530.46,54530.46,0
"PUBLIC SAFETY, ALASKA DEPT OF",SEWARD LODGING LLC,1120 Huffman #24 Pmb416 Anchorage AK 99515,AK-ANCHORAGE,202966,GRANT,85288.02,85288.02,0
"PUBLIC SAFETY, ALASKA DEPT OF","SEWARD OCEAN EXCURSIONS, LLC",PO BOX 2452 Seward AK 99664-2452,AK-KENAI PENINSULA,202697,GRANT,100000,100000,0
"PUBLIC SAFETY, ALASKA DEPT OF","SEWARD, CITY OF",PO BOX 167 Seward AK 99664-0167,AK-KENAI PENINSULA,20-CRF-185,GRANT,5330531.63,5330531.63,0
"PUBLIC SAFETY, ALASKA DEPT OF","SHAGELUK, CITY OF",500 Main St Shageluk AK 99665-9800,AK-YUKON-KOYUKUK,20-CRF-186,GRANT,102425.32,102425.32,0
"PUBLIC SAFETY, ALASKA DEPT OF","SHAKTOOLIK, CITY OF",123 Main St Shaktoolik AK 99771-9800,AK-NOME,20-CRF-187,GRANT,230062.28,209645.05,20417.23
"PUBLIC SAFETY, ALASKA DEPT OF","SHISHMAREF, CITY OF",PO BOX 72083 Shishmaref AK 99772-2083,AK-NOME,20-CRF-188,GRANT,326300.92,326300.92,0
"PUBLIC SAFETY, ALASKA DEPT OF",SHRINER TRUCKING LLC,1970 Hollowell Rd North Pole AK 99705-7338,AK-FAIRBANKS NORTH STAR,202386,GRANT,87025.57,87025.57,0
"PUBLIC SAFETY, ALASKA DEPT OF","SHUNGNAK, CITY OF",PO BOX 73059 Shungnak AK 99773-0059,AK-NORTHWEST ARCTIC,20-CRF-189,GRANT,183581.54,58634.74,124946.8
"PUBLIC SAFETY, ALASKA DEPT OF",SILIVERST KUZMIN,PO BOX 1046 Delta Junction AK 99737-1046,AK-SOUTHEAST FAIRBANKS,200037,GRANT,58244.69,58244.69,0
"PUBLIC SAFETY, ALASKA DEPT OF","SILVER LEGACY STABLES, LLC",PO BOX 871230 Wasilla AK 99687-1230,AK-MATANUSKA-SUSITNA,201897,GRANT,71173.03,71173.03,0
